"Name","Window","LearningRate","MaxDepth","MinChildWeight","Gamma","rmse_XGB","mae_XGB","Energy_Consumed"
"silver-sweep-473","4","1","7","3","1","6.949401339444248","4.788569608429939","1.7237832539523073e-8"
"fearless-sweep-218","4","1","5","4","0","6.099278313691418","4.926074513096962","1.7138142476495787e-8"
"logical-sweep-213","4","1","5","3","0","5.465443128126803","4.087873820249496","1.7931827814739637e-8"
"tough-sweep-3","4","0.01","1","1","0","41.89337850352632","40.91559865909699","2.5312390972658254e-8"
"lucky-sweep-288","4","0.01","5","2","1","40.89927438595572","40.194845143176664","1.3185912154590876e-8"
"radiant-sweep-228","4","1","7","2","0","6.535139309907709","5.142595936436806","8.753374359634512e-9"
"crisp-sweep-298","4","0.01","5","4","1","40.89927438595572","40.194845143176664","1.0866716818201083e-8"
"tough-sweep-33","4","0.01","3","3","0","40.90303688659878","40.199657260722496","1.564938281818387e-8"
"deep-sweep-443","4","1","5","1","1","6.200411785399817","4.5658924495573965","1.2222368666622669e-8"
"copper-sweep-223","4","1","7","1","0","6.9478306706191555","5.227889485020792","1.2483464755253712e-8"
"frosty-sweep-438","4","1","3","4","1","6.6755103687947255","5.138293249511718","1.146675696228764e-8"
"sweepy-sweep-458","4","1","5","4","1","6.064655047044451","4.8893747013215085","2.1440596454643432e-8"
"kind-sweep-118","4","0.1","3","4","0","5.426848190762995","4.093105250204763","1.2832616779658365e-8"
"magic-sweep-323","4","0.1","1","1","1","7.091201283575798","5.661279470529864","2.0906117402622235e-8"
"zany-sweep-68","4","0.01","7","2","0","40.89927438595572","40.194845143176664","1.2652409283191446e-8"
"jumping-sweep-383","4","0.1","7","1","1","5.578678676630047","4.220713751220703","1.2860262247866356e-8"
"devout-sweep-78","4","0.01","7","4","0","40.89927438595572","40.194845143176664","1.2728178344205949e-8"
"dauntless-sweep-398","4","0.1","7","4","1","4.924210481737007","3.747667374936997","1.2345996103830557e-8"
"rich-sweep-393","4","0.1","7","3","1","5.325778398303099","4.070573479437059","1.139505243284273e-8"
"cool-sweep-113","4","0.1","3","3","0","5.58261720222545","4.207545791133757","1.2981083182997584e-8"
"clean-sweep-238","4","1","7","4","0","6.378725726636098","4.762679120660597","1.7282513254915307e-8"
"fiery-sweep-153","4","0.1","7","3","0","5.24886728619786","3.9665572812972534","1.2920672715431973e-8"
