"Name","Window","Factor","Threshold","Init","rmse_TEDA_pond","rmse_TEDA_stack","rmse_TEDA_major","mae_TEDA_pond","mae_TEDA_stack","mae_TEDA_major","Energy_Consumed"
"clean-sweep-382","3","0.99","1.8","zero","8.12594048920722","8.12594048920722","8.12594048920722","66.03090883413729","66.03090883413729","66.03090883413729","2.6086059019816172e-8"
"jumping-sweep-32","3","0.5","1.8","Xavier","6.010913823737486","6.010913823737487","6.010913823737487","36.13108499639841","36.131084996398414","36.131084996398414","3.3082410288898245e-8"
"dutiful-sweep-162","3","0.75","2","Yoshua","6.732673936983115","6.732673936983114","6.732673936983114","45.328898341731716","45.32889834173171","45.32889834173171","2.673521556958905e-8"
"swept-sweep-167","3","0.75","2.3","Yoshua","6.732673936983115","6.732673936983114","6.732673936983114","45.328898341731716","45.32889834173171","45.32889834173171","3.6713181780214655e-8"
"fallen-sweep-62","3","0.5","2","Yoshua","6.046830824422477","6.046830824422476","6.046830824422476","36.56416301918581","36.564163019185806","36.564163019185806","2.6214047298556883e-8"
"honest-sweep-442","3","1","2.3","Xavier","7.454363141069907","7.454363141069907","7.454363141069907","55.56752983894161","55.5675298389416","55.5675298389416","3.9303664541926595e-8"
"polished-sweep-177","3","0.75","1.5","zero","7.589006663291437","13.235781705279576","7.492290178340651","57.59302213548184","175.18591734981348","56.134412116459785","3.0820601426992456e-8"
"swift-sweep-497","3","1","3","zero","8.147816285389041","8.147816285389043","8.147816285389043","66.38691022045087","66.3869102204509","66.3869102204509","4.1396528875894654e-8"
"rose-sweep-397","3","0.99","3","zero","8.12594048920722","8.12594048920722","8.12594048920722","66.03090883413729","66.03090883413729","66.03090883413729","3.952380438136061e-8"
"absurd-sweep-57","3","0.5","1.8","Yoshua","6.046830824422477","6.046830824422476","6.046830824422476","36.56416301918581","36.564163019185806","36.564163019185806","2.4995598884945343e-8"
